Index;;Drop Volume ;Cylinder Diameter;;Contact Length (side);Contact Length (front);;Reference Length
Index (side);Index (front);V / ul;D / mm;?D / mm;L / pixel;x / pixel;? / °;y / pixel
0;1;2;2.19;0.02;250;187.3;94.2;153.5
1;3;2;2.19;0.02;255;175.7;91.4;153.5
2;5;2;2.19;0.02;264;198.7;98.5;153.5
0;1;2;3.99;0.02;232;204;60.8;153.5
1;3;2;3.99;0.02;221;194.7;60.7;153.5
2;5;2;3.99;0.02;225;196;55.7;153.5
0;1;3;2.19;0.02;240;168.7;98.2;153.5
1;3;3;2.19;0.02;236;164;96.7;153.5
2;5;3;2.19;0.02;244;168.5;95.2;153.5
0;1;3;3.99;0.02;364;221.6;;153.5
1;3;3;3.99;0.02;252;212.5;65.2;153.5
2;5;3;3.99;0.02;257;206.5;67.4;153.5
