Index of Image;;Drop Volume ;Cylinder Diameter;;Contact Length (side);Contact Length (front);Reference Length
Index (side);Index (front);V / ul;D / mm;?D / mm;L / pixel;x / pixel;y / pixel
0;0;2;3.99;0.02;242;180.7;162
1;1;2;3.99;0.02;230;191.9;162
2;2;2;3.99;0.02;229;187.3;162
3;3;2;3.99;0.02;237.5;194.1;162
4;4;2;3.99;0.02;263.1;203.1;162
0;0;4;3.99;0.02;307;224.2;162
1;1;4;3.99;0.02;285;231;162
2;2;4;3.99;0.02;288;246.3;162
3;3;4;3.99;0.02;304;235;162
4;4;4;3.99;0.02;314;247.3;162
0;0;6;3.99;0.02;329;260.1;162
1;1;6;3.99;0.02;322;259.5;162
2;2;6;3.99;0.02;333;260.8;162
3;3;6;3.99;0.02;344;262;162
4;4;6;3.99;0.02;332;284.5;162
0;0;8;3.99;0.02;352;284.5;162
1;1;8;3.99;0.02;344;293.2;162
2;2;8;3.99;0.02;363;280.7;162
3;3;8;3.99;0.02;374;289.4;162
4;4;8;3.99;0.02;364;295.6;162
0;0;10;3.99;0.02;376.1;315.4;162
1;1;10;3.99;0.02;368;300.4;162
2;2;10;3.99;0.02;386;305.2;162
3;3;10;3.99;0.02;398;302.9;162
4;4;10;3.99;0.02;403;343.6;162
0;0;12;3.99;0.02;;334.7;162
1;1;12;3.99;0.02;;333.8;162
2;2;12;3.99;0.02;409;337.5;162
3;3;12;3.99;0.02;418;327.5;162
4;4;12;3.99;0.02;;363.1;162
