Index (side);Index (front);V / ul;D / mm;?D / mm;L / pixel;x / pixel;y / pixel
0;0;2;10.2;0.1;109.5;105.8;78.8
1;1;2;10.2;0.1;110;94;78.8
2;2;2;10.2;0.1;109.5;101.8;78.8
3;3;2;10.2;0.1;114;102.3;78.8
4;4;2;10.2;0.1;111.8;102;78.8
5;5;2;10.2;0.1;112.3;103;78.8
6;6;2;10.2;0.1;111.8;103;78.8
0;0;4;10.2;0.1;140.5;130.1;78.8
1;1;4;10.2;0.1;141.3;126.4;78.8
2;2;4;10.2;0.1;139.8;128.2;78.8
3;3;4;10.2;0.1;142.8;132.8;78.8
4;4;4;10.2;0.1;140.5;128.8;78.8
5;5;4;10.2;0.1;142.3;135.3;78.8
6;6;4;10.2;0.1;140;129.4;78.8
0;0;8;10.2;0.1;176.3;166.6;78.8
1;1;8;10.2;0.1;176.7;155;78.8
2;2;8;10.2;0.1;169.7;160.8;78.8
3;3;8;10.2;0.1;179;162.4;78.8
4;4;8;10.2;0.1;177.7;158.7;78.8
5;5;8;10.2;0.1;179;168.1;78.8
6;6;8;10.2;0.1;178;167;78.8
0;0;12;10.2;0.1;202.3;191.3;78.8
1;1;12;10.2;0.1;200.3;184.3;78.8
2;2;12;10.2;0.1;198;189.8;78.8
3;3;12;10.2;0.1;205;183.3;78.8
4;4;12;10.2;0.1;206.3;183.3;78.8
5;5;12;10.2;0.1;204.7;194;78.8
6;6;12;10.2;0.1;202.7;188.8;78.8
0;0;16;10.2;0.1;221.7;221.4;78.8
1;1;16;10.2;0.1;219.7;200.5;78.8
2;2;16;10.2;0.1;219.7;212.1;78.8
3;3;16;10.2;0.1;223.7;200.7;78.8
4;4;16;10.2;0.1;223.7;197.7;78.8
5;5;16;10.2;0.1;224;218.4;78.8
6;6;16;10.2;0.1;225.3;214;78.8
0;0;20;10.2;0.1;229.5;249.2;78.8
1;1;20;10.2;0.1;231;227.3;78.8
2;2;20;10.2;0.1;236;242.7;78.8
3;3;20;10.2;0.1;240;222.8;78.8
4;4;20;10.2;0.1;241;222;78.8
5;5;20;10.2;0.1;241.5;245.5;78.8
6;6;20;10.2;0.1;240.5;247.5;78.8
0;0;24;10.2;0.1;;;78.8
1;1;24;10.2;0.1;242;;78.8
2;2;24;10.2;0.1;250.5;269.7;78.8
3;3;24;10.2;0.1;259;237.9;78.8
4;4;24;10.2;0.1;261.6;234;78.8
5;5;24;10.2;0.1;256.6;;78.8
6;6;24;10.2;0.1;255.6;;78.8
