Index of Image;;Drop Volume ;Cylinder Diameter;;Contact Length (side);Contact Length (front);Reference Length
Index (side);Index (front);V / ul;D / mm;?D / mm;L / pixel;x / pixel;y / pixel
0;;2;;;171;;116.8
1;;2;;;165.3;;116.8
2;;2;;;166.8;;116.8
3;;2;;;170;;116.8
4;;2;;;165.3;;116.8
0;;4;;;208.3;;116.8
1;;4;;;209;;116.8
2;;4;;;204.3;;116.8
3;;4;;;205.3;;116.8
4;;4;;;206.7;;116.8
0;;6;;;244.5;;116.8
1;;6;;;238;;116.8
2;;6;;;236;;116.8
3;;6;;;238;;116.8
4;;6;;;234;;116.8
0;;8;;;264.5;;116.8
1;;8;;;262.5;;116.8
2;;8;;;258;;116.8
3;;8;;;262;;116.8
4;;8;;;259.5;;116.8
0;;12;;;301.5;;116.8
1;;12;;;305;;116.8
2;;12;;;295;;116.8
3;;12;;;304;;116.8
4;;12;;;302;;116.8
0;;16;;;339.5;;116.8
1;;16;;;334;;116.8
2;;16;;;330;;116.8
3;;16;;;337;;116.8
4;;16;;;338;;116.8
0;;20;;;368;;116.8
1;;20;;;370;;116.8
2;;20;;;356;;116.8
3;;20;;;362;;116.8
4;;20;;;362;;116.8
0;;24;;;416;;116.8
1;;24;;;386;;116.8
2;;24;;;385;;116.8
3;;24;;;390;;116.8
4;;24;;;383;;116.8
