Index of Image;;Drop Volume ;Cylinder Diameter;;Contact Length (side);Contact Length (front);Reference Length;;;4mm PET PIX;4mm PMMA PIX
Index (side);Index (front);V / ul;D / mm;?D / mm;L / pixel;x / pixel;y / pixel;;;349;341
0;0;2;4.08;0.204;160;128.4;123;;;;
1;1;2;4.08;0.204;161.5;116.2;123;;;;
2;2;2;4.08;0.204;192.7;132.3;123;;;;
3;3;2;4.08;0.204;174;128.8;123;;;;
4;4;2;4.08;0.204;176.7;148.5;123;;;;
0;0;4;4.08;0.204;191.7;163.7;123;;;;
1;1;4;4.08;0.204;197.7;144.6;123;;;;
2;2;4;4.08;0.204;211.2;169.7;123;;;;
3;3;4;4.08;0.204;209.7;149.4;123;;;;
4;4;4;4.08;0.204;199;154;123;;;;
0;0;6;4.08;0.204;227;186.6;123;;;;
1;1;6;4.08;0.204;233.5;172.9;123;;;;
2;2;6;4.08;0.204;242.8;183.7;123;;;;
3;3;6;4.08;0.204;253;167.7;123;;;;
4;4;6;4.08;0.204;236;168.3;123;;;;
0;0;8;4.08;0.204;257;210;123;;;;
1;1;8;4.08;0.204;263;195.6;123;;;;
2;2;8;4.08;0.204;260;200;123;;;;
3;3;8;4.08;0.204;272.5;194.8;123;;;;
4;4;8;4.08;0.204;245.5;178.1;123;;;;
0;0;10;4.08;0.204;278.5;228.2;123;;;;
1;1;10;4.08;0.204;282.5;212.3;123;;;;
2;2;10;4.08;0.204;274;235.2;123;;;;
3;3;10;4.08;0.204;285;215.3;123;;;;
4;4;10;4.08;0.204;262.5;196.6;123;;;;
0;0;12;4.08;0.204;288;;123;;;;
1;1;12;4.08;0.204;291;217.1;123;;;;
2;2;12;4.08;0.204;297;267.6;123;;;;
3;3;12;4.08;0.204;301;234.3;123;;;;
4;4;12;4.08;0.204;285;212.1;123;;;;
