Index of Image;;Drop Volume ;Cylinder Diameter;;Contact Length (side);Contact Length (front);Reference Length
Index (side);Index (front);V / ul;D / mm;?D / mm;L / pixel;x / pixel;y / pixel
0;;2;;;123.8;;96
1;;2;;;123.1;;96
2;;2;;;118;;96
3;;2;;;132.8;;96
4;;2;;;133;;96
0;;4;;;156.3;;96
1;;4;;;157.8;;96
2;;4;;;155.8;;96
3;;4;;;164.3;;96
4;;4;;;171.7;;96
0;;6;;;171.3;;96
1;;6;;;180.7;;96
2;;6;;;179;;96
3;;6;;;186.7;;96
4;;6;;;196.7;;96
0;;8;;;203;;96
1;;8;;;203;;96
2;;8;;;202.7;;96
3;;8;;;215;;96
4;;8;;;221.1;;96
0;;12;;;234;;96
1;;12;;;233.6;;96
2;;12;;;233.5;;96
3;;12;;;251.6;;96
4;;12;;;234.1;;96
0;;16;;;251.5;;96
1;;16;;;267.6;;96
2;;16;;;258.5;;96
3;;16;;;273.6;;96
4;;16;;;261;;96
0;;20;;;275;;96
1;;20;;;278.6;;96
2;;20;;;285.5;;96
3;;20;;;297.5;;96
4;;20;;;285.1;;96
0;;24;;;298.5;;96
1;;24;;;300.1;;96
2;;24;;;297.5;;96
3;;24;;;319.5;;96
4;;24;;;328.5;;96
