Index of Image;;Drop Volume ;Cylinder Diameter;;Contact Length (side);Contact Length (front);Reference Length
Index (side);Index (front);V / ul;D / mm;?D / mm;L / pixel;x / pixel;y / pixel
0;0;2;10.2;0.1;163.7;146.8;103.3
1;1;2;10.2;0.1;144.3;144;103.3
2;2;2;10.2;0.1;154.3;148.1;103.3
3;3;2;10.2;0.1;151.8;139.7;103.3
4;4;2;10.2;0.1;159;144.3;103.3
5;5;2;10.2;0.1;155;144.5;103.3
0;0;4;10.2;0.1;196;187.6;103.3
1;1;4;10.2;0.1;184;176.7;103.3
2;2;4;10.2;0.1;182.7;172.7;103.3
3;3;4;10.2;0.1;193.7;181.1;103.3
4;4;4;10.2;0.1;189;174.2;103.3
5;5;4;10.2;0.1;187.4;176.6;103.3
0;0;8;10.2;0.1;246.5;236.5;103.3
1;1;8;10.2;0.1;234.5;229;103.3
2;2;8;10.2;0.1;233;222.3;103.3
3;3;8;10.2;0.1;242.6;224.7;103.3
4;4;8;10.2;0.1;237.1;224.3;103.3
5;5;8;10.2;0.1;243.6;219.1;103.3
0;0;12;10.2;0.1;282.5;277.1;103.3
1;1;12;10.2;0.1;270.5;256.6;103.3
2;2;12;10.2;0.1;271;267;103.3
3;3;12;10.2;0.1;281.6;273.1;103.3
4;4;12;10.2;0.1;268;256.6;103.3
5;5;12;10.2;0.1;276.5;260.4;103.3
0;0;16;10.2;0.1;315.1;;103.3
1;1;16;10.2;0.1;293;272.6;103.3
2;2;16;10.2;0.1;296;307.4;103.3
3;3;16;10.2;0.1;307.6;318.5;103.3
4;4;16;10.2;0.1;291.6;285.1;103.3
5;5;16;10.2;0.1;302.6;303.9;103.3
0;0;20;10.2;0.1;332.5;;103.3
1;1;20;10.2;0.1;308;300.7;103.3
2;2;20;10.2;0.1;304.6;331.4;103.3
3;3;20;10.2;0.1;327.2;349.5;103.3
4;4;20;10.2;0.1;300.6;320;103.3
5;5;20;10.2;0.1;323.1;;103.3
