Index of Image;;Drop Volume ;Cylinder Diameter;;Contact Length (side);Contact Length (front);Reference Length;Focus on cylincer;
Index (side);Index (front);V / ul;D / mm;?D / mm;L / pixel;x / pixel;y / pixel;Index' (front);x' / pixel2
0;1;2;2.19;0.02;331;270.5;253.1;0;274.4
1;3;2;2.19;0.02;364;261.3;253.1;2;261.6
2;5;2;2.19;0.02;370;268.9;253.1;4;266.1
3;7;2;2.19;0.02;355.1;265.1;253.1;6;260.2
0;1;2.2;2.19;0.02;371.1;273.2;253.1;0;267.2
1;3;2.2;2.19;0.02;363.1;263.1;253.1;2;265.3
2;5;2.2;2.19;0.02;376.1;259.7;253.1;4;261.1
3;7;2.2;2.19;0.02;390.1;269;253.1;6;266.1
0;1;2.4;2.19;0.02;363.1;274;253.1;0;271.1
1;3;2.4;2.19;0.02;387;264;253.1;2;264
2;5;2.4;2.19;0.02;386;281;253.1;4;277.4
3;7;2.4;2.19;0.02;374;274.5;253.1;6;269.8
0;1;2.6;2.19;0.02;384.1;274.1;253.1;0;272.3
1;3;2.6;2.19;0.02;389;289.2;253.1;2;279.3
2;5;2.6;2.19;0.02;391;283.2;253.1;4;275
3;7;2.6;2.19;0.02;384.1;271.6;253.1;6;270.3
0;1;2.9;2.19;0.02;404.1;278.5;253.1;0;277.7
1;3;2.9;2.19;0.02;402.1;285;253.1;2;279
2;5;2.9;2.19;0.02;400;290.8;253.1;4;286.4
3;7;2.9;2.19;0.02;395;270.1;253.1;6;273.1
0;1;3.2;2.19;0.02;414;296.4;253.1;0;289.7
1;3;3.2;2.19;0.02;407;291.2;253.1;2;282.2
2;5;3.2;2.19;0.02;405;289.1;253.1;4;283.1
3;7;3.2;2.19;0.02;402;298.9;253.1;6;297.7
